State,x,y
Andhra Pradesh,-53,-122
Arunachal Pradesh,198,138
Assam,161,96
Bihar,55,78
Chhattisgarh,-16,-1
Goa,-156,-113
Gujarat,-199,23
Haryana,-118,151
Himachal Pradesh,-92,204
Jharkhand,31,44
Karnataka,-128,-137
Kerala,-134,-200
Madhya Pradesh,-81,32
Maharashtra,-167,-56
Manipur,196,65
Meghalaya,141,80
Mizoram,178,33
Nagaland,210,96
Odisha,35,-22
Punjab,-133,179
Rajasthan,-168,101
Sikkim,100,121
Tamil Nadu,-63,-203
Telangana,-65,-69
Tripura,154,39
Uttarakhand,-59,172
Uttar Pradesh,-40,107
West Bengal,94,35
